RERA Number,Project Name,Company,Location,District,State,Pincode
# P51800002451,VIKI HEIGHTS,Divij Developers,Kurla,Mumbai Suburban,MAHARASHTRA,400077
# P51800001311,Shri Krishna Kunj CHS Ltd,Ellora Developers,Andheri,Mumbai Suburban,MAHARASHTRA,400060
# P51800000052,DGS HEIGHTS,D.G.BUILDERS,Borivali,Mumbai Suburban,MAHARASHTRA,400063
