ACK/KA/RERA/1251/309/PR/170524/008156,ACK/KA/RERA/1251/309/PR/170524/008156,PRM/KA/RERA/1251/309/PR/180524/006894,Brigade Insignia,Brigade Tetrarch Private Limited;
ACK/KA/RERA/1273/318/PR/160524/008152,ACK/KA/RERA/1273/318/PR/160524/008152,PRM/KA/RERA/1273/318/PR/180524/006897,VENKATESHWARA RESIDENCY,VENUS DEVELOPERS;
ACK/KA/RERA/1273/488/PR/160524/008151,ACK/KA/RERA/1273/488/PR/160524/008151,PRM/KA/RERA/1273/488/PR/180524/006903,PRASHANTHI ENCLAVE BLOCK-B,PRASHANTHI DEVELOPERS;
ACK/KA/RERA/1257/334/PR/160524/008150,ACK/KA/RERA/1257/334/PR/160524/008150,PRM/KA/RERA/1257/334/PR/180524/006904,BLOOM NEXUS,PARADISE CITADEL PROJECTS;
ACK/KA/RERA/1264/437/PR/160524/008149,ACK/KA/RERA/1264/437/PR/160524/008149,PRM/KA/RERA/1264/437/PR/210524/006930,COORG KAILASH HILLS,DHARANI INFRA;
TOR/ACK/KA/RERA/1251/308/PR/240515/008147,TOR/ACK/KA/RERA/1251/308/PR/240515/008147,TOR/PRM/KA/RERA/1251/308/PR/240521/001584,INSPIRA TREES OF LIFE,IINSPIRA SPRINGDALE PRIVATE LIMITED;
ACK/KA/RERA/1251/310/PR/150524/008146,ACK/KA/RERA/1251/310/PR/150524/008146,PRM/KA/RERA/1251/310/PR/210524/006933,SRIVARA VASUDHA,SRIVARA INFRA;
ACK/KA/RERA/1268/378/PR/150524/008144,ACK/KA/RERA/1268/378/PR/150524/008144,PRM/KA/RERA/1268/378/PR/210524/006916,SAHA MEADOWS,SAHA DEVELOPERS AND PROMOTERS;
ACK/KA/RERA/1251/446/PR/150524/008143,ACK/KA/RERA/1251/446/PR/150524/008143,PRM/KA/RERA/1251/446/PR/170524/006888,Godrej Woodscapes Phase 2,Godrej Properties Limited ;
ACK/KA/RERA/1251/309/PR/140524/008141,ACK/KA/RERA/1251/309/PR/140524/008141,PRM/KA/RERA/1251/309/PR/200524/006911,SHASHANK AKSHAYA,M/s. SHASHANK INFRA PROJECTS ;
ACK/KA/RERA/1251/309/PR/140524/008139,ACK/KA/RERA/1251/309/PR/140524/008139,PRM/KA/RERA/1251/309/PR/160524/006878,Cobalt at Brigade El Dorado,Brigade Tetrarch Private Limited;
ACK/KA/RERA/1251/309/PR/140524/008138,ACK/KA/RERA/1251/309/PR/140524/008138,PRM/KA/RERA/1251/309/PR/210524/006929,Assetz Sora  Saki Phase 2,NETRA SOFTWARE TECHNOLOGIES PRIVATE LIMITED;
ACK/KA/RERA/1251/446/PR/110524/008135,ACK/KA/RERA/1251/446/PR/110524/008135,PRM/KA/RERA/1251/446/PR/210524/006932,Saranya Swarovski,Saranya Builders;
ACK/KA/RERA/1251/446/PR/110524/008134,ACK/KA/RERA/1251/446/PR/110524/008134,PRM/KA/RERA/1251/446/PR/210524/006931,SARANYA SIGNATURE,Saranya Builders;
ACK/KA/RERA/1251/446/PR/100524/008132,ACK/KA/RERA/1251/446/PR/100524/008132,PRM/KA/RERA/1251/446/PR/080824/006965,PRIDE EUPHORA,Pride Housing;
ACK/KA/RERA/1250/304/PR/100524/008128,ACK/KA/RERA/1250/304/PR/100524/008128,PRM/KA/RERA/1250/304/PR/180524/006898,JP LAVENDER BLOCK-A,JP Housing Corporation;
ACK/KA/RERA/1250/304/PR/100524/008127,ACK/KA/RERA/1250/304/PR/100524/008127,PRM/KA/RERA/1250/304/PR/180524/006896,JP LAVENDER BLOCK-B,JP Housing Corporation;
ACK/KA/RERA/1251/310/PR/090524/008126,ACK/KA/RERA/1251/310/PR/090524/008126,PRM/KA/RERA/1251/310/PR/180524/006906,GARUDAATHRI NILAYA,M/s. GARUDAATHRI DEVELOPERS;
