Business Name                                                                               ,Category               ,Rating ,Number of Reviews ,Phone Number   ,Address                                                                                                                                                                        ,Operating Hours
Prestige Daffodils                                                                          ,Condominium complex    ,   4.4 ,(12)              ,               ,"
                                                                                                                                                                99-27, Nargis Dutt Rd Pali Hill, Bandra West, Mumbai, Maharashtra 400050"                                                                                                      ,"
                                                                                                                                                                                                                                                                                                                                                Open ⋅ Closes 6:30 pm
                                                                                                                                                                                                                                                                                                                                                "
Kalpataru Virtus                                                                            ,Real estate agency     ,   3.5 ,(13)              ,"
                                                                                                                                                022 3064 3065" ,"
                                                                                                                                                                Kalpataru Virtus, Jogeshwari - Vikhroli Link Rd, near Powai Telephone Exchange, W, Vikhroli West, Mumbai, Maharashtra 400083"                                                  ,"
                                                                                                                                                                                                                                                                                                                                                Open ⋅ Closes 7 pm
                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                Updated by phone call 5 weeks ago"
Urban Space Realty                                                                          ,Real estate agency     ,   4.8 ,(185)             ,"
                                                                                                                                                093249 06516"  ,"
                                                                                                                                                                Raj Heights, C-103, Mahatma Gandhi Rd, near Vohra Colony, Kandivali West, Mumbai, Maharashtra 400067"                                                                          ,"
                                                                                                                                                                                                                                                                                                                                                Opens soon ⋅ 10:30 am
                                                                                                                                                                                                                                                                                                                                                "
Lotekar Realtors Pvt. Ltd. - Real Estate Expert                                             ,Real estate agency     ,   4.9 ,(201)             ,               ,"
                                                                                                                                                                Astor Place Building, Shop No. 15, Charkop Chetan Chs Ltd, opp. Bhavishya Nidhi Bhvan, Plot No. 235, 90 Feet Rd, Charkop Sector 3, Kandivali West, Mumbai, Maharashtra 400067" ,
"True Space Advisory, Rachit Vora- Top And Best Real Estate Agents/ Brokers in Mumbai"      ,Real estate agency     ,   4.9 ,(167)             ,               ,"
                                                                                                                                                                Office no.1, Shatrunjay Giri Apartment, Kandivali, Ashok Nagar, Kandivali East, Mumbai, Maharashtra 400101"                                                                    ,
Dream Properties                                                                            ,Real estate agent      ,   4.8 ,"(1,099)"         ,               ,"
                                                                                                                                                                G4/G5 , Kalamandir, Off, Nehru Rd, behind dubashi playground, near petrol pump, Gujarati Society, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057"                     ,"
                                                                                                                                                                                                                                                                                                                                                Open ⋅ Closes 7 pm
                                                                                                                                                                                                                                                                                                                                                "
Sync Realty (Real Estate Agent in Mumbai)                                                   ,Real estate consultant ,   5.0 ,(55)              ,               ,"
                                                                                                                                                                Shop No.28, Garden Grove Complex Basil Grove CHS, next to New Witty School, Chikuwadi Borivali (West), Mumbai 400092, Mumbai, Maharashtra 400067"                              ,"
                                                                                                                                                                                                                                                                                                                                                Open ⋅ Closes 7:30 pm
                                                                                                                                                                                                                                                                                                                                                "
"A and Z Realtors® Mindspace ,Malad west - best real estate property consultancy in Mumbai" ,Real estate consultant ,   4.9 ,(341)             ,"
                                                                                                                                                099876 20584"  ,"
                                                                                                                                                                Office No 48, Ground Floor, 5RHP+JF8 Evershine Mall, New Link Rd, Malad, Mindspace, Malad West, Mumbai, Maharashtra 400064"                                                    ,N/A
PROPERTY LUCKY ASSOCIATES - Real estate Interior Decor                                      ,Real estate agency     ,   4.9 ,(185)             ,               ,"
                                                                                                                                                                &, Yes bank, 8, Ganga Niwas, New Link Rd, opp. Link House, near Chincholi Signal & Hanuman Mandir, Malad West, Mumbai, Maharashtra 400064"                                     ,N/A
