Business Name,Category,Rating,Number of Reviews,Phone Number,Address,Operating Hours
Om Estate Broker,Real estate agency,4.7,(68),"099748 07262","11, Under Nathalal Jhagadia Bridge, Mani Nagar Estate Rd, opposite Parimal Hospital, Maninagar, Ahmedabad, Gujarat 380008","Closed ⋅ Opens 10:30 am Wed"
Jalaram developers & Real Estate,Real estate agency,4.9,(117),,"Swarnim Square Block-B, SWARNIM SQUARE, 12, Malabar County Rd, Near Swarnim Square, Ahmedabad, Gujarat 382481","Open 24 hours"
Jalaram Developers & Real Estate Ahmedabad,Real estate consultant,5.0,(378),"084888 83483","C-601 ganesh glory-11 Sg highway, Gota - Jagatpur Rd, Ahmedabad, Gujarat 382470",N/A
Aditya Property,Real estate agency,4.6,(33),,"Iscon Emporio, 311, Jodhpur Char Rasta, nr. Star Bazaar, Satellite, Ahmedabad, Gujarat 380015","Closed ⋅ Opens 10 am Wed"
Anil Estate Management,Real estate consultant,5.0,(78),,"407, Gold Leaf, Chimanlal Girdharlal Rd, opposite Tomato Restaurant, Ahmedabad, Gujarat 380009","Closed ⋅ Opens 9 am Wed"
Home Management Real Estate Broker,Real estate agency,4.5,(34),,"405, Aditraj arcade, Prahlad Nagar Rd, Satellite, Ahmedabad, Gujarat 380015","Closed ⋅ Opens 9 am Wed"
"KRISHNA PROPERTY SOLUTION - Real Estate Agent Chandkeda, Ahmedabad",Real estate consultant,5.0,(64),,"Sarjan-1, New CG Rd, opp. SAKAR ENGLISH SCHOOL, Nigam Nagar, Chandkheda, Ahmedabad, Gujarat 382424",N/A
I'm Realtor,Real estate agency,5.0,(44),"085608 39253","Flat no. 7, 3rd floor, Jayanti Apartment Nilmani Society, Sterling hospital road, Gurukul, Memnagar, Ahmedabad, Gujarat 380052","Open 24 hours"
Sampatti Realtor,Real estate agent,5.0,(33),,"Trade Centre, B 109, PNTC ( Prahalad Nagar, Radio Mirchi Road, near Titanium City Centre, Satellite, Ahmedabad, Gujarat 380015","Closed ⋅ Opens 10:30 am Wed"
The Ideal Door Realty,Real estate agency,4.9,(30),N/A,"Avani Complex, Naranpura, Ahmedabad, Gujarat 380013","Closed ⋅ Opens 11 am Wed"
Khushi real estate,Real estate agent,4.2,(68),,"b-10,kavita shop,Opp. Shri Hari Park Shopping Centre gopivallabh tower,times of India, Times Of India Press Rd, Satellite, Ahmedabad, Gujarat 380015","Open ⋅ Closes 9 am Wed"
NPSingh Realty Private Limited,Real estate agent,4.9,(27),"086504 00011","Office No. 23, 4th Floor, 4D Square Mall, nr. PVR Cinema, Motera, Ahmedabad, Gujarat 380005","Closed ⋅ Opens 9:30 am Wed"
NG Management,Real estate consultant,5.0,(590),,"10,Anand Mangal Shopping Centre, Near Shyamal Row House-5, Opp. Kenyoug Apartment Ma Anandmayi Marg ManekbaghNehru NagarSatellite Ahmedabad Gujarat380015, Satellite Rd, Shyamal, Ahmedabad, Gujarat 380015",
SAVE Management,Real estate agent,4.8,(92),,"16th, Westgate, B-1609, Sarkhej - Gandhinagar Hwy, near YMCA Club, Makarba, Ahmedabad, Gujarat 380015",N/A
Krishna Realty,Real estate agency,5.0,(45),,"509, Money plant Hight, Street, Gota, Ahmedabad, Gujarat 382470","Closed ⋅ Opens 9 am Wed"
The Blossom Property,Real estate agency,4.4,(63),"097370 49193","206, Vithhal The Mall, New CG Rd, nr. Vishvakarma Collage, opp. ONGC Circle, Chandkheda, Ahmedabad, Gujarat 382424","Open 24 hours"
Property Panther | Premium Residential & Commercial Property Investment Consultant,Real estate consultant,5.0,(117),,"Shilp Epitome, 918, Rajpath Rangoli Rd, opposite Venus Orbit, Bodakdev, Ahmedabad, Gujarat 380054","Closed ⋅ Opens 10 am Wed"
Vital Space,Real estate agency,4.8,(389),,"1316-1317, Shilp Epitome, Sindhubhavan Rd, behind Rajpath Rangoli Road, opp. Orbit, Bodakdev, Ahmedabad, Gujarat 380054","Closes soon ⋅ 9 pm ⋅ Opens 10 am Wed"
Active Real Estate,Real estate agency,4.9,(18),"099250 02441","Shilp Corporate Park, B-1105, Rajpath Rangoli Rd, Thaltej, Ahmedabad, Gujarat 380054","Closed ⋅ Opens 10 am WedConfirmed by phone call 7 days ago"
Shree Sai Real Estate & Consultancy,Real estate agent,4.9,(175),"083200 24639","Vaisnodevi Circal, DEF 109 1st Floor Anand I LYF Near Vishnodevi Under Pass, To, Zundal - Tragad Rd, Ahmedabad, Gujarat 382470","Closed ⋅ Opens 10 am Wed"
Real Estate Pundits,Real estate consultant,5.0,(72),"063513 58410","11th Floor, Block-A, The First, B/H ITC Narmada, Vastrapur, Ahmedabad, Gujarat 380015","Closed ⋅ Opens 10 am Wed"
Viraya Realty,Real estate agency,5.0,(13),"098213 77645","730, Sun Gravitas, Shyamal Cross Rd, Rajmani Society, Shyamal, Ahmedabad, Gujarat 380015","Closed ⋅ Opens 10:30 am Wed"
Right Home,Real estate consultant,4.9,(62),"099242 23399","Office No.90, Shree Balaji Agora Mall, Tapovan Cir, Sughad, Ahmedabad, Gujarat 382424","Closed ⋅ Opens 10:30 am Wed"
Urban Realtor,Real estate consultant,5.0,(173),"091046 20252","605, shivalik Satyamev, Opp Vakil Saheb Bridge, Junction, Ambli - Bopal Rd, Bopal, Ahmedabad, Gujarat 380058","Closed ⋅ Opens 10 am Wed"
ANANT PROPERTIES,Real estate consultant,4.8,(191),"076981 87450","Karnavati Mega Mall 1, F-25, road, above Bank of Baroda, opp. Vishwa Electronic Showroom, Odhav, Vastral, Ahmedabad, Gujarat 382418","Closed ⋅ Opens 10 am Wed"
estatefrontiers,Real estate consultant,5.0,(40),"090992 11804","N 09 First Floor, Vandematram Arcade, Gota, Ahmedabad, Gujarat 382481","Closed ⋅ Opens 10 am Wed"
"Prime Real Estate - Property Broker In Bopal, Shilaj, Shela & Ahmedabad",Real estate consultant,4.9,(26),"098240 41302","C 317, CELEBRATION CITY CENTER, South Bopal, Bopal, Ahmedabad, Gujarat 380058","Closed ⋅ Opens 9 am Wed"
REAL ESTATE CONSULTANT / AGENT IN AHMEDABAD - SOUTH BOPAL,Real estate agency,4.6,(21),"098254 64630","317, GALA MAGNUS, nr. Safal Parisar Road, South Bopal, Bopal, Ahmedabad, Gujarat 380058","Open 24 hours"
PUSHP PROPERTY,Real estate consultant,4.9,(39),"079842 64768","16, Suryam Sky, nr. Karnavati maga mall, Odhav, Vastral, Ahmedabad, Gujarat 382418","Closed ⋅ Opens 9:30 am Wed Updated by phone call 9 weeks ago"
Alak Estate Management | Real Estate Broker in South Bopal,Real estate rental agency,4.6,(61),"097274 02403","Shop D 281, Sobo Center, South Bopal, Bopal, Ahmedabad, Gujarat 380058","Open 24 hours"
Arham Promoters - Commercial Property Broker Ahmedabad,Commercial real estate agency,4.7,(30),"097122 18188","526 Shivalik Shilp, Iscon Cross Roads, Sarkhej - Gandhinagar Hwy, Ahmedabad, Gujarat 380015","Closed ⋅ Opens 10 am Wed"
BOB Real Estate,Real estate agency,4.7,(25),,"FF - 103, shukan mall, Science City Rd, Sola, Ahmedabad, Gujarat 380060","Closed ⋅ Opens 9 am Wed Confirmed by phone call 8 weeks ago"
Govani Realty & Financial Services,Real estate agency,5.0,(22),"095868 88533","635, SIXTH FLOOR, Iscon Emporio, Jodhpur Cross Rd, near Star Bazaar, Satellite, Ahmedabad, Gujarat 380015","Closed ⋅ Opens 10 am Wed"
Rama Realty: Real Estate Consultant in Ahmedabad,Real estate agency,4.3,(56),,"708, Elite Magnum, Bhuyangdev Cross Road, Road, Sola, Ahmedabad, Gujarat 380061","Closed ⋅ Opens 10 am Wed"
Dravya Realty,Real estate consultant,5.0,(5),,"302, Sahajanand Complex Above Unique Group Tuition, Sona Cross Roads, New CG Rd, Chandkheda, Ahmedabad, Gujarat 382424","Closed ⋅ Opens 9 am Wed"
K B Real Estate,Real estate agency,4.9,(29),"070160 03354","Shop No 1/A, Uttarbhartiyanagar Society Sanjay Chok, Satyamnagar, Road, Amraiwadi, Ahmedabad, Gujarat 380026","Closes soon ⋅ 9 pm ⋅ Opens 9 am Wed"
"PIKORUA Realty - Ahmedabad, Mumbai, Dubai - Best & Most Trusted Luxury Real Estate Consultancy Firm",Real estate consultant,4.8,(28),,"Pikorua Realty, 707 Satyamev Elite Ambli T-junction, Ambli Bopal Road, Sardar Patel Ring Rd, Ahmedabad, Gujarat 380058",
Apna Realty,Commercial real estate agency,4.6,(23),,"Ghadiyali Complex, L17, Jawahar chowk, Balvatika, Maninagar, Ahmedabad, Gujarat 380008","Closed ⋅ Opens 9 am Wed"
Renavkar Real Estate,Real estate agent,4.8,(24),,"Mc Donalds Building, A-503 Safal Pegasus,100ft Road, Pralad Nagar, Corporate Rd, Prahlad Nagar, Ahmedabad, Gujarat 380051","Closed ⋅ Opens 10 am Wed"
Dhaara Estate Maninagar,Real estate agent,4.6,(10),,"14, mahalaxmi market, 1, Maninagar Cross Rd, opp. sales india, Balvatika, Maninagar, Ahmedabad, Gujarat 380008","Closed ⋅ Opens 10 am Wed"
Unison Realty,Real estate consultant,4.5,(8),"097234 50351","shop no 1/2, bootbhavani shoping, Unison Realty, opp. bootbhavani tempal, above TGB Cafe N Bakery, Vejalpur, Ahmedabad, Gujarat 380051","Open ⋅ Closes 10 pm"
Jay Mataji Reall Estate,Real estate consultant,5.0,(105),,"Office No. D, 158, Sneh Plaza Rd, near State Bank of India, Chandkheda, Ahmedabad, Gujarat 382424",N/A
Prestigious Realty,Real estate agency,4.7,(17),N/A,"Satyamev Elite, 1105, Ambli - Bopal Rd, opposite one world, South Bopal, Bopal, Ahmedabad, Gujarat 380058","Closed ⋅ Opens 10:30 am Wed"
Metro Real Estate,Industrial real estate agency,4.2,(40),,"10, Park Avenue, New CG Rd, near Aavkar Bunglows, Nigam Nagar, Chandkheda, Ahmedabad, Gujarat 382424","Closed ⋅ Opens 10 am Wed"
Shitla Estate Management,Real estate agency,5.0,(40),N/A,"313, 3 floor Swarnim Business Hub-1, Godrej Garden City, Chandkheda, Ahmedabad, Gujarat 382470","Closed ⋅ Opens 10 am Wed"
PEARL REALTY,Real estate agency,4.8,(31),,"Aarvi-156, B-327, Sun South Street SAFAL PARISAR 1 lane nr, South Bopal, Ahmedabad, Gujarat 380015","Closed ⋅ Opens 10 am Wed"
KARV REALTY,Real estate agency,5.0,(42),,"Swati Clover, Shilaj Circle, D 713, Sardar Patel Ring Rd, behind Taj hotel, Thaltej, Ahmedabad, Gujarat 380054","Closed ⋅ Opens 9:45 am Wed"
Urban Property Estate,Real estate agency,5.0,(73),"094846 43942","17- Nilgiri Appartment , B/H Gujrat High court , Sola Bhagwat Road, Sola, Ahmedabad, Gujarat 380060","Closed ⋅ Opens 9 am Wed"
"Veer Real Estate: Buy | Sell | Rent | Invest | Residential | Commercial | Property Management Company in Ahmedabad, Gujarat.",Real estate agency,4.7,(41),,"302, Shilp Corner, Gurukul Rd, nr. Subhash Chowk, Memnagar, Ahmedabad, Gujarat 380052",
X Realtors Pvt Ltd,Real estate agency,5.0,(25),"096870 98887","B1/605, WESTGATE BUSINESS BAY, Sarkhej - Gandhinagar Hwy, opposite Andaaz Party Plot, Makarba, Ahmedabad, Gujarat 380051","Closed ⋅ Opens 9 am Wed"
"Aegis Realtors -Best Real Estate Consultant in Ahmedabad, Gandhinagar, Gift City",Real estate agency,5.0,(22),,"707, Arista Business Space, Bodakdev, Ahmedabad, Gujarat 380054","Closes soon ⋅ 9 pm ⋅ Opens 10 am Wed"
"Future Realty Space -Warehouse On Rent, Industrial space for lease Ahmedabad",Industrial real estate agency,5.0,(39),,"SIDDHI VINAYAK TOWER, C-627, Sarkhej - Gandhinagar Hwy, near Kataria Arcade, Makarba, Ahmedabad, Gujarat 380051","Closed ⋅ Opens 10 am Wed"
True Connect Realty,Real estate agency,4.8,(31),,"E-609 Titanium City Centre, 100 Feet Rd, near New Income Tax Office, Ahmedabad, Gujarat 380015","Closed ⋅ Opens 10:30 am Wed"
Skyland Realty - Real estate broker in South Bopal-Ahmedabad,Real estate consultant,5.0,(17),N/A,"Aaron spectra, 508, Rajpath Rangoli Rd, near Rajpath Club, Bodakdev, Ahmedabad, Gujarat 380054","Open ⋅ Closes 10 pm"
Nine One Realty | Real Estate Consultant - Ahmedabad,Real estate consultant,5.0,(32),,"GANESH GLORY, 212, Jagatpur Rd, Gota, Ahmedabad, Gujarat 382481","Closed ⋅ Opens 9 am Wed"
Keshav Property Broker,Real estate agency,4.8,(28),"098256 05163","F-39 Karnavati Mega Mall, Above Bank of Baroda, opp. Vishwa Electronic Show Room, Vastral, Ahmedabad, Gujarat","Closed ⋅ Opens 9 am Wed"
"Lakshya Estate Management - Buy, Sell and Rent",Real estate agent,4.3,(10),,"313, Bhagirath icon, N.H.8, Aslali Road, opp. Old Narol Court, New Mani Nagar, Narolgam, Ahmedabad, Gujarat 382405","Closed ⋅ Opens 10 am Wed"
Ganesha Realtor,Real estate agent,5.0,(127),,"302, Gala Magnes, 380058, Safal Parisar Rd, South Bopal, Bopal, Ahmedabad, Gujarat 380058","Closed ⋅ Opens 10 am Wed"
Royal Space The Real Estate Store,Real estate agency,4.7,(13),"098250 50079","Off, Billionaire Street, Mumatpura, Ahmedabad, Gujarat 380054","Open ⋅ Closes 10 pm"
"DP Property's Real Estate Management - Best Property Dealer In Ahmedabad, Best Real Estate Agent In Ahmedabad",Real estate consultant,5.0,(12),,"Satellite near, Vastrapur Railway Station Rd, Anand dhara Society, Vejalpur, Ahmedabad, Gujarat 380051",
