Business Name,Category,Rating,Number of Reviews,Phone Number,Address,Operating Hours
"Jay Estate Management - Real Estate Consultant in Bopal, Ahmedabad",Real estate agency,4.5,(11),,"4, F/F, Samarpan Arcade Ambli Bopal, Junction, Sardar Patel Ring Rd, Ahmedabad, Gujarat 380058",
"Devraj Realtors - Real Estate , Bopal , Ahmedabad",Real estate agency,5.0,(3),,"Amrapali mall, 47, Bopal, Ahmedabad, Gujarat 380058","Closed ⋅ Opens 10 am Wed"
JUST CASA REALTOR,Real estate consultant,4.7,(27),,"319, Shivalik Satyamev Ambli, T junction, Bopal, Ahmedabad, Gujarat 380058","Closed ⋅ Opens 10 am Wed"
PROPERTY LUCKY ASSOCIATES - Real estate Interior Decor,Real estate agency,4.9,(185),,"&, Yes bank, 8, Ganga Niwas, New Link Rd, opp. Link House, near Chincholi Signal & Hanuman Mandir, Malad West, Mumbai, Maharashtra 400064",N/A
Deepak Chawla,Real estate agency,4.7,(68),"098100 05171","E-64, Greater Kailash Enclave I, Greater Kailash, New Delhi, Delhi 110048","Closes soon ⋅ 9 pm ⋅ Opens 9 am Wed Confirmed by this business 3 weeks ago"
"Yadav Properties - Best Property Dealers in Delhi, Real Estate Consultants",Industrial real estate agency,4.9,(519),,"H. No. 69, Lower Ground Floor, opposite Venkateshwra Clollege, Moti Bagh II, Satya Niketan, South Moti Bagh, New Delhi, Delhi 110021",
Royale Realtors India,Real estate agency,4.8,(42),,"19 DDA Market, Shanti Niketan, New Delhi, Delhi 110021",N/A
Rama Buildwell,Real estate agency,4.7,(220),"092124 43296","18A, behind AIIMS, Hardev Puri, Gautam Nagar, New Delhi, Delhi 110049","Open ⋅ Closes 10 pm"
Bhoomi Realty,Property management company,4.8,(201),,"Kaveri apartment 665, opposite Jims college, Pocket 6, Sector D, Vasant Kunj, New Delhi, Delhi 110070","Closes soon ⋅ 9 pm ⋅ Opens 9 am Wed"
Real Estate India,Real estate agency,4.0,(172),,"Metro Station Kirti Nagar, 33 & 33A Rama Road, Industrial Area, near Kirti Nagar, New Delhi, Delhi 110015","Closed ⋅ Opens 9:30 am Wed"
Ambiance real estate llp,Real estate agency,4.9,(161),"098108 00052","B 298/299, Vasant kunj Enclave, Nangal Dewat, Sector D, Vasant Kunj, New Delhi, Delhi 110070","Closed ⋅ Opens 10 am Wed"
Deepak Chawla,Real estate agency,5.0,(14),"098100 05171","F-71, BHAGAT SINGH MARKET, CONNAUGHT PLACE, NEW DELHI- 110001, New Delhi, Delhi 110001","Closes soon ⋅ 9 pm ⋅ Opens 9 am Wed"
Royal Siyaram estate,Real estate agent,5.0,(152),"098180 77956","e-125, Block E, Amar Colony, Lajpat Nagar, New Delhi, Delhi 110024","Open 24 hours"
Guru Mahadev Real Estate Pvt. Ltd.,Real Estate Builders & Construction Company,4.9,(897),,"Metro Pillar Number 750, B-16, Ground Floor near, Mansa Ram Park, New Delhi, Delhi 110059","Closed ⋅ Opens 9:30 am Wed Updated by this business 1 week ago"
Aggarwal Properties,Real estate agency,4.7,(271),"099530 73118","24 d, Squadron Leader Mohinder Kumar Jain Marg, near Father Agnel School, Gautam Nagar, New Delhi, Delhi 110049","Open 24 hours"
High Rise Realtors .,Real estate consultant,4.9,(77),"099993 66805","G-51, Block G, Pushkar Enclave, Paschim Vihar, New Delhi, Delhi, 110063","Closed ⋅ Opens 11 am Wed"
South Delhi Floors,Real estate agency,5.0,(128),"099990 04511","A-67, Amber Vithi Rd, Block A, Defence Colony, New Delhi, Delhi 110049",N/A
Chopra Properties,Real estate agency,4.9,(16),"098105 06264","E-105, Block E, Lajpat Nagar I, Lajpat Nagar, New Delhi, Delhi 110024","Open 24 hours"
PROPERTYYY.com Real Estate (Buy Sell Property in Auction),Real estate consultant,5.0,(108),,"PROPERTYYY.com, Real Estate Property Dealer Office, 1959, Dr Bhim Rao Ambedkar Marg, Block A, Malka Ganj, Delhi, 110007","Open 24 hours"
BEST PROPERTIES Real Estate consultant,Real estate agent,4.7,(120),,"101 UB Jawahar Nagar, Bunglow Road, Near Mc donald Kamla Nagar, Delhi, university, New Delhi, Delhi 110007","Open 24 hours"
Gupta Realtors,Real estate agency,4.8,(546),"099102 23322","Kothi no. 485 & 486, Sector 19, Pocket 1, Dwarka, Delhi, 110075","Closed ⋅ Opens 10 am Wed"
Inside Delhi - Property Consultants and Real Estate Marketing Company,Real estate consultant,4.7,(32),,"GTB nagar metro station, 55 FF Edward Lines, Kingsway Camp Near, Gate No. 4, Delhi, 110009","Closed ⋅ Opens 10 am Wed"
Girish Property dealer / agent commercial property only,Commercial real estate agency,4.3,(143),,"62, FARM BHAWAN, 13, Nehru Place, New Delhi, Delhi 110019","Closed ⋅ Opens 9 am Wed"
"Yadav Properties - Best Property Dealers in Delhi, Real Estate Consultants",Industrial real estate agency,4.9,(519),,"H. No. 69, Lower Ground Floor, opposite Venkateshwra Clollege, Moti Bagh II, Satya Niketan, South Moti Bagh, New Delhi, Delhi 110021",
Malhotra Estate | Property Dealer in Connaught Place,Real estate agent,5.0,(74),,"C - 25, 11, Middle Cir, Block C, Connaught Place, Delhi, New Delhi, Delhi 110001","Closed ⋅ Opens 10 am Wed Confirmed by this business 9 weeks ago"
Sahni Realtors and Developers,Real estate agency,4.8,(86),"093122 18193","Shop no 22, DDA Market Rd, Pocket 3, Mayur Vihar Phase I, Pocket 3, Mayur Vihar, New Delhi, Delhi, 110091","Closes soon ⋅ 9 pm ⋅ Opens 9 am Wed"
Shubh Laabh Real Estate,Real estate consultant,4.9,(66),N/A,"B-9, GD-ITL Tower, 109, Netaji Subhash Place, Pitampura, New Delhi, Delhi 110034","Closed ⋅ Opens 10 am Wed"
Ultra Realty Estates,Real estate consultant,4.9,(74),,"S514, S Swaran Singh Bhandari Marg, Greater Kailash-1, Block S, Greater Kailash I, Greater Kailash, New Delhi, Delhi 110048","Closed ⋅ Opens 10 am Wed"
Goswami Properties,Real estate consultant,4.9,(132),"099999 96451","bus stand, 124A/8C, main road, NRPC Colony, Block B, Katwaria Sarai, New Delhi, Delhi 110016","Closed ⋅ Opens 11 am Wed"
Girish Property dealer / agent commercial property only,Commercial real estate agency,4.3,(143),,"62, FARM BHAWAN, 13, Nehru Place, New Delhi, Delhi 110019","Closed ⋅ Opens 9 am Wed"
South Delhi Property,Real estate consultant,4.7,(15),,"B, 2, N Block, Greater Kailash I, New Delhi, Delhi 110048","Open ⋅ Closes 11 pm"
Guru Mahadev Real Estate Pvt. Ltd.,Real Estate Builders & Construction Company,4.9,(897),,"Metro Pillar Number 750, B-16, Ground Floor near, Mansa Ram Park, New Delhi, Delhi 110059","Closed ⋅ Opens 9:30 am Wed Updated by this business 1 week ago"
SGK Properties - Best Property Deal in Rajinder Nagar,Real estate rental agency,4.8,(37),,"18/2, LG Ground Floor, Bada Bazar Rd, Delhi, 110060","Closed ⋅ Opens 10 am Wed"
Prithvi Estates,Real estate consultant,4.5,(36),,"52, First Floor, District Centre, Omaxe Square, Jasola Vihar, New Delhi, Delhi 110025","Closed ⋅ Opens 9:30 am Wed"
Gupta Realtors,Real estate agency,4.8,(546),"099102 23322","Kothi no. 485 & 486, Sector 19, Pocket 1, Dwarka, Delhi, 110075","Closed ⋅ Opens 10 am Wed"
Inside Delhi - Property Consultants and Real Estate Marketing Company,Real estate consultant,4.7,(32),,"GTB nagar metro station, 55 FF Edward Lines, Kingsway Camp Near, Gate No. 4, Delhi, 110009","Closed ⋅ Opens 10 am Wed"
PROPERTYYY.com Real Estate (Buy Sell Property in Auction),Real estate consultant,5.0,(108),,"PROPERTYYY.com, Real Estate Property Dealer Office, 1959, Dr Bhim Rao Ambedkar Marg, Block A, Malka Ganj, Delhi, 110007","Open 24 hours"
House True Real Estate Services,Real estate agency,4.3,(35),,"G-30, Block G, Lajpat Nagar III, Lajpat Nagar, New Delhi, Delhi 110024","Closed ⋅ Opens 10 am Wed"
Book My Property (LLP),Real estate consultant,4.9,(153),,"CU Block, G2 Ground Floor, Aggarwal Arcade, Market, Pitampura, Delhi, New Delhi, Delhi 110088","Closed ⋅ Opens 10 am Wed Updated by phone call 6 weeks ago"
Sangam Properties,Real estate consultant,4.8,(112),"098719 62606","Gate No.5, A-10, opp. Lajpat Nagar Metro Station, Block A, Lajpat Nagar II, Lajpat Nagar, New Delhi, Delhi 110024","Closed ⋅ Opens 10 am Wed"
Real Estate India,Real estate agency,4.0,(172),,"Metro Station Kirti Nagar, 33 & 33A Rama Road, Industrial Area, near Kirti Nagar, New Delhi, Delhi 110015","Closed ⋅ Opens 9:30 am Wed"
ACE Real Estate,Real estate agency,5.0,(19),,"E-106, Greater Kailash Part 3, Masjid Moth, Greater Kailash, New Delhi, South Delhi, Delhi 110048","Closed ⋅ Opens 9:30 am Wed"
K S Associates,Real estate agency,5.0,(161),,"G-30, Ground Floor, Jungpura Extension, Delhi, 110014","Closed ⋅ Opens 10 am Wed"
Tanish Realestate,Real estate agency,4.7,(41),,"40, Main Chhatarpur Rd, Block A1, Asola, New Delhi, Delhi 110047","Closes soon ⋅ 9 pm ⋅ Opens 9 am Wed"
Chopra Properties,Real estate agency,4.9,(16),"098105 06264","E-105, Block E, Lajpat Nagar I, Lajpat Nagar, New Delhi, Delhi 110024","Open 24 hours"
Kapur Properties,Real estate agent,4.9,(21),"098102 31665","K- 31B ,Ground floor, Block L, Lajpat Nagar II, Lajpat Nagar, New Delhi, Delhi 110024","Closed ⋅ Opens 9 am Wed Confirmed by this business 10 weeks ago"
Sharma Properties,Real estate agency,4.8,(33),"098108 17237","Shop no. 33-D & 33-E South Patel Nagar Market Near Gate no. 6 Metro Station, Patel Nagar, New Delhi, Delhi 110008","Closed ⋅ Opens 10:30 am Wed"
Real Value,Real estate agency,5.0,(34),,"New Friends Colony, Delhi, New Delhi, Delhi 110025","Closed ⋅ Opens 10 am Wed"
KDR Properties Pvt Ltd,Real estate agency,4.7,(26),"098998 93333","B-6/10 Deer Park Road DDA Shopping Complex, Chaudhary Harsukh Marg, Safdarjung Enclave, New Delhi, Delhi 110029","Closed ⋅ Opens 11 am Wed"
Krivi Estate,Real estate agent,5.0,(12),,"2nd floor, opposite jvts garden, Block B, Chhatarpur Extension, Chhatarpur, New Delhi, Delhi 110074","Closes soon ⋅ 9 pm ⋅ Opens 9 am Wed"
Absolute Real Estate,Real estate consultant,4.9,(39),,"314, third Floor, RG Trade Tower, Netaji Subhash Place, Pitampura, New Delhi, Delhi, 110034","Closes soon ⋅ 9 pm ⋅ Opens 9 am Wed"
SheltOwn Real Estate Agent,Real estate agent,4.8,(49),,"H-B2, 3rd Floor, Chhatarpur Extension, New Delhi, Delhi 110074",N/A
Kaushish Properties,Real estate rental agency,4.9,(47),N/A,"74, Safdarjung Enclave, 120, opp. b6, Block B 7, Arjun Nagar, Safdarjung Enclave, New Delhi, Delhi 110029","Closed ⋅ Opens 10 am Wed"
Sharma Property Dealer,Real estate agency,4.7,(65),"011 4905 2932","1455/12 First Floor Shri Ram Market Gali Chippiyan, Nai Sarak, near Shiv mandir, Maliwara, Chandni Chowk, Delhi, 110006","Closed ⋅ Opens 11 am Wed"
Bharat Properties,Real estate agency,4.8,(35),"099992 91736","Guru Nanak Market, W.E.A, WEA, Karol Bagh, Delhi, 110005","Closes soon ⋅ 9 pm ⋅ Opens 9 am Wed"
Property Dealer in Karol Bagh,Real estate consultant,4.6,(117),,"14A, AB properties, Shop number 12 gurunanak market, 103, opposite to direction coaching centre, WEA, Karol Bagh, New Delhi, Delhi 110005","Closes soon ⋅ 9 pm ⋅ Opens 5 am Wed Updated by others 2 weeks ago"
South Delhi Floors,Real estate agency,5.0,(128),"099990 04511","A-67, Amber Vithi Rd, Block A, Defence Colony, New Delhi, Delhi 110049",N/A
GK Properties,Real estate consultant,5.0,(83),,"dda lsc market, a-4/14, near sakshra apartment, opp. bala ji hospital, Janta Flats, Block A 3, Shakshar Apartment, Paschim Vihar, Delhi, 110063","Closed ⋅ Opens 10 am Wed"
Majestic Estates,Real estate consultant,4.9,(277),"098115 27266","Shop No. P-19, Ground floor, Pandav Nagar, below Sagar Ratna Restaurant, opp. Fine Home Apartments, Mayur Vihar, Delhi, 110091","Closed ⋅ Opens 10:30 am Wed"
Levin Tom,Real estate agency,4.4,(14),,"D-57, Lower Ground Floor, near Ram Lal Anand College, Block A, Anand Niketan, New Delhi, Delhi 110021","Closed ⋅ Opens 9 am Wed Confirmed by this business 12 weeks ago"
Malik Estate Agents,Real estate agency,5.0,(18),,"Q-10, Block Q, Hauz Khas Enclave, Hauz Khas, New Delhi, Delhi 110016","Closed ⋅ Opens 9 am Wed"
Real Estate Destination,Real estate agency,5.0,(114),,"G-5, Aggarwal Square plot, 205, Gali Number 10, Dev Kunj, Block NZ, Sector 11 Dwarka, Dwarka, Delhi, 110075","Closed ⋅ Opens 10 am Wed"
XPRESS REALTORS,Real estate consultant,5.0,(15),,"180, ROSE APARTMENT, Sector 18B Rd, Sector 18, Sector 18A Dwarka, Dwarka, New Delhi, Delhi, 110078","Open 24 hours Confirmed by phone call 10 weeks ago"
Vasant Realtors : Property Dealer | Farm Houses | Real Estate Agent | Vasant Kunj,Real estate agency,5.0,(37),,"540, Kaveri Block, 6, D6, Sector D, Vasant Kunj, New Delhi, Delhi 110070","Closed ⋅ Opens 10 am Wed"
"Sukhdham Real Estate | Buy, Sell, Rent Property in South Delhi | 1,2,3,4 bhk flats, apartments, property",Real estate agent,4.6,(5),,"13/12, Shop No, G, 8, Malviya Nagar, New Delhi, Delhi 110017",
KALKA PROPERTY,Real estate consultant,4.8,(60),"088268 65546","Lila Ram Market, South Extension II, Block K, New Delhi, Delhi 110049","Closes soon ⋅ 9 pm ⋅ Opens 9 am Wed"
Karol bagh Property,Real estate agent,4.5,(265),,"12A/34, Saraswati Marg, near Hotel Apra Deluxe, Block 12A, WEA, Karol Bagh, New Delhi, Delhi, 110005","Closed ⋅ Opens 9 am Wed"
"Lakshita Property dealer Nehru Place property dealer south delhi property dealer near me ,Jasola,Okhla,CP, Noida, Gurgaon",Commercial real estate agency,4.8,(27),,"Nehru Place, New Delhi, Delhi 110019",
Gulshan Estate Agents Pvt. Ltd,Real estate agent,3.6,(31),,"C-115, Opp Defence Colony Flyover Market, Lajpat Nagar I, New Delhi, Delhi 110024","Closed ⋅ Opens 10 am Thu Updated by this business 5 days ago"
JK Estate Agency,Real estate agency,4.8,(15),"099100 41831","B, 45, Greater Kailash-1, C Block, Greater Kailash I, Greater Kailash, New Delhi, Delhi 110048","Closed ⋅ Opens 9 am Wed"
Vijay Real Estate-Best Property Dealer In Vasant Kunj-DDA Flat Dealer In Vasant Kunj-,Real estate consultant,5.0,(32),,"G-6/001 Block Ganga, 6, Sector D, Vasant Kunj, New Delhi, Delhi 110070",
Regal Property And Real Estate Private Limited,Real estate agency,5.0,(26),"095995 84386","PANDIT MOTI RAM MARKET, 14/21, D Block, Samalka, New Delhi, Delhi 110037",N/A
Royal Stone Realtors,Real estate agent,5.0,(2),N/A,"R-276 LGF, Block R, Greater Kailash I, Greater Kailash, New Delhi, Delhi 110048","Closed ⋅ Opens 9:30 am Wed"
SS Properties,Real estate consultant,4.3,(54),"098114 57568","Shop No-39A, J Pocket, Phase II, Sheikh Sarai, New Delhi, Delhi 110017","Closed ⋅ Opens 10 am Wed"
Preet Properties,Real estate agency,4.5,(13),"098111 79300","2527/61, Nalwa St, opp. Mother Dairy, near Hotel Vin-Inn, Bazar Sangatrashan, Chuna Mandi, Paharganj, New Delhi, Delhi 110055","Closed ⋅ Opens 10 am Wed"
Vasant Realtors : Property Dealer I Builder floor | Luxury Builder Floor | Greater Kailash South Delhi,Real estate consultant,4.9,(17),,"Plot no : 316, Greater Kailash-1, Block R, Defence Colony, Greater Kailash, New Delhi, Delhi 110024","Open 24 hours"
Walia Property Linkerrs,Real estate rental agency,4.9,(75),"099998 03450","Walia property linkerrs, WZ-884, Railway Road, Multani Mohalla, Rani Bagh, Shakurpur, Delhi, 110034","Open 24 hours"
Bansal Real Esstate,Real estate agency,5.0,(29),N/A,"G-1171, Sushant Lok-II, Block G, Block B1, Sector 57, Gurugram, Haryana 122002","Closed ⋅ Opens 10:32 am Wed Confirmed by this business 3 weeks ago"
Satyarthi Properties-Best Property Dealer In Vasant Kunj-D.D.A.Flats Dealer In Vasant Kunj.,Real estate agency,4.7,(32),,"Gate No 7, C.S.E. Market, Shop No 10-11, Sector B Rd, near Punjab National Bank, Pocket 1, Vasant Kunj, New Delhi, Delhi 110070",
Fair Deal Property Advisor - Patel Nagar Experts,Real estate agent,4.7,(30),,"3230, Hanuman Chowk, Block 7, Patel Nagar, Ranjeet Nagar, New Delhi, Delhi 110008","Closes soon ⋅ 9 pm ⋅ Opens 9 am Wed"
Sargam Consultants,Real estate agency,4.9,(16),"099100 17505","L-72D, DDA Flats, Saket, New Delhi, Delhi 110017",N/A
Dream house properties,Real estate agency,4.5,(54),"097114 92934","Block 14A, WEA, Karol Bagh, New Delhi, Delhi, 110005","Closed ⋅ Opens 10 am Wed"
"Arora Properties- F 94, Lajpat Nagar-II",Real estate rental agency,4.3,(18),,"F 94, F Block, Lajpat Nagar II, Lajpat Nagar, New Delhi, Delhi 110024","Closed ⋅ Opens 9 am Wed"
"Bhalla Properties - Renting, Sale Purchase & Consultant",Real estate consultant,4.3,(257),,"H-19,old double storey,lajpat nagar, New Delhi, Delhi 110024",N/A
MHL Realty - Nitin Property Dealer (NAREDCO Certified,Real estate consultant,4.7,(7),,"111, humayunpur safdarjung enclave, Delhi, 110029","Open 24 hours Confirmed by phone call 3 weeks ago"
Gagan Properties,Real estate agency,4.8,(44),"098103 11442","114, Gagandeep Building, Rajendra Place, New Delhi, Delhi 110008","Closed ⋅ Opens 10 am Wed"
South Delhi Homes,Real estate consultant,5.0,(17),,"W-12 Basement, Greater Kailash I, New Delhi, Delhi 110048","Open 24 hours"
Bhargava estates,Real estate agency,4.2,(5),,"gopal das building, Barakhamba Rd, Connaught Lane, Connaught Place, New Delhi, Delhi 110001","Closed ⋅ Opens 10 am Wed"
Realistic Realtors Pvt. Ltd.,Real estate agency,4.5,(15),,"4th Floor, Ambadeep Building, 410-411, 14, KG Marg, Connaught Place, New Delhi, Delhi 110001","Closed ⋅ Opens 9:30 am Wed"
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arora's Real Estate Agents,Office space rental agency,5.0,(2),"098110 71281","B 88, B Block, East of Kailash, New Delhi, Delhi 110065","Closed ⋅ Opens 10 am Wed"
Jain Estates Oncor International,Commercial real estate agency,4.0,(11),,"A 21, Sri Aurobindo Marg, Block A, Green Park Extension, Green Park, New Delhi, Delhi 110016","Closed ⋅ Opens 10 am Wed"
SHIV ASSOCIATES,Real estate agent,4.4,(110),,"G 211 Near Gurudwara, Sarita Vihar, New Delhi, Delhi 110076","Closed ⋅ Opens 10 am Wed"
Perfect Realtors,Real estate agency,5.0,(3),,"Shop No. 203 , II floor, Manish Twin Plaza, Plot -9, Sector 4, Dwarka, New Delhi, Delhi, 110075","Closed ⋅ Opens 9 am Wed"
prop solution,Real estate agency,5.0,(46),,"h-10 second floor, South Extension I, Block G, Delhi, New Delhi, Delhi 110049","Open 24 hours"
Harmeet Motors & Properties,Real estate agency,4.7,(34),"099110 08509","76, Mall Rd, GTB Nagar, New Delhi, Delhi, 110009","Closed ⋅ Opens 10 am Wed Confirmed by phone call 3 weeks ago"
Vikas Real Estate. Unit of Nangia Real Estate,Real estate consultant,4.8,(57),,"F-122,Block C-1 ,Vardhman market West Enclave, Pitampura, New Delhi, Delhi 110034","Closed ⋅ Opens 10:30 am Wed"
Nav Durge Properties,Real estate consultant,4.3,(34),,"T, Atta Chakki, 163, E/3, 163E, near Sai Baba Mandir, Khirki Extension, Malviya Nagar, New Delhi, Delhi 110017","Closed ⋅ Opens 9 am Wed Confirmed by this business 7 weeks ago"
Guru Kripa Gupta Properties & Builders,Real estate agency,4.9,(88),,"L-42, Block L, Shastri Nagar, Delhi, 110052","Closed ⋅ Opens 9 am Wed"
Dbg South Delhi Estate,Commercial real estate agency,4.2,(13),,"E-18 First floor, Hauz Khas, New Delhi, Delhi 110016",N/A
Bhatia Associates,Real estate agency,4.8,(16),"098999 69915","Plot No. 11A &11B, Block B1, Sewak Park, Uttam Nagar, New Delhi, Delhi, 110059","Closed ⋅ Opens 10 am Wed"
Realestate Realtors,Consultant,4.8,(5),,"10th floor, Aggarwal Cyber Plaza 1, 1009, Netaji Subhash Place, Pitampura, New Delhi, Delhi 110034",N/A
SK Dealer,Real estate agency,5.0,(25),,"51/33 , FIRST FLOOR, Old Rajinder Nagar, New Delhi, Delhi 110060","Closes soon ⋅ 9:30 pm ⋅ Opens 9:30 am Wed"
AB Properties,Real estate consultant,4.7,(19),N/A,"Shop No Shop Number 12, Maharana Pratap Rd, Market, Karol Bagh, New Delhi, Delhi 110005","Closes soon ⋅ 10 pm ⋅ Opens 8 am Wed"
Square Real Estate,Real estate agency,5.0,(9),"075420 43468","B6 Market, Safdarjung Enclave, Delhi 110029","Closed ⋅ Opens 9 am Wed"
Kathuria Properties,Real estate agency,5.0,(15),"098107 51507","A47, Block A, West Patel Nagar, Patel Nagar, New Delhi, Delhi, 110008","Closed ⋅ Opens 10 am Wed"
JSS REAL ESTATE AGENTS,Commercial real estate agency,5.0,(9),"093543 96132","Flat no 715, Indraparkash building, 21, Barakhamba Rd, Connaught Place, New Delhi, Delhi 110001","Open 24 hours"
Sethi Realtors,Real estate agency,5.0,N/A,,"Building no -20, Ground Floor, Club Rd, Punjabi Bagh, Extn, New Delhi, Delhi, 110026","Closed ⋅ Opens 10 am Wed"
Classic Real Estate,Real estate agency,4.0,(4),"098101 25896","19/250 Main Shivalik Road, Malviya Nagar, Near IDBI Bank, New Delhi, Delhi 110017","Closed ⋅ Opens 9:30 am Wed"
KR Property Dealers PVT LTD,Real estate consultant,4.8,(33),"096672 15163","104 B, Sufdarjung, Green Park, Arjun Nagar, South Delhi, New Delhi, Delhi 110029","Open 24 hours"
Bharat Realtors & Developers,Industrial real estate agency,4.9,(12),"088007 60926","B-123 B/123, Block B, Amar Colony, Lajpat Nagar, New Delhi, Delhi 110024","Closed ⋅ Opens 10 am Wed"
Aakash Associates,Real estate agent,4.5,(35),,"Pocket B, 4, Outer Ring Rd, Pocket 7, Sector 8B, Sector 8, Rohini, Delhi, 110086",N/A
South Delhi Prime,Real estate consultant,4.2,(6),,"W-98, Block W, W Block, Greater Kailash I, Greater Kailash, New Delhi, Delhi 110048","Closed ⋅ Opens 8 am Wed"
Bagri Properties associate,Real estate consultant,4.8,(33),N/A,"EA Block, Block RA, Inder Puri, New Delhi, Delhi 110012","Closed ⋅ Opens 10 am Wed"
Pabitra Realtors,Real estate agency,5.0,(5),,"UGF-Kanchenjunga Building, 18-Barakhamba Road, Connaught Place,, New Delhi, Delhi 110001","Closed ⋅ Opens 10 am Wed"
Matta Properties,Real estate agency,4.8,(39),,"15/5, Block 15, East Patel Nagar, Patel Nagar, New Delhi, Delhi, 110008","Closed ⋅ Opens 10 am Wed"
Mittal Co Properties,Real estate agency,5.0,N/A,"011 2371 4695","815, Naurang House, 21, Kasturba Gandhi Marg, Connaught Place, New Delhi, Delhi 110001","Closed ⋅ Opens 10 am Wed"
Rachit Bakshi,Real estate agent,5.0,(6),"098183 04666","I 13, Block I, Part 3, Lajpat Nagar, New Delhi, Delhi 110024","Closed ⋅ Opens 10:30 am Wed"
NSP PROPERTIES,Real estate agency,4.7,(7),,"Kaanha Estates , G-28 Aggarwal Cyber Plaza – 1, Netaji Subhash Place, New Delhi, Delhi 110034","Open 24 hours"
Amit Bhatia,Real estate agency,5.0,(86),N/A,"Metro Station, Level 2, Second Floor Bestech Centre Point, A Block Sushant Lok 1, (Near IFFCO Chowk, Gurugram, Haryana 122002","Closed ⋅ Opens 10 am Wed"
OM Real Estate,Industrial real estate agency,4.7,(30),"099104 13068","318, 1, Shivalaya Rd, Tyagi Mohalla, Block A1, Dr Ambedkar Colony, Chhatarpur, New Delhi, Delhi 110074","Closed ⋅ Opens 10 am Wed"
Anshu Properties,Real estate agency,4.8,(4),"097117 43343","Shop No. 2, 1, Block 1, Nehru Nagar, Lajpat Nagar, New Delhi, Delhi 110065","Closes soon ⋅ 10 pm ⋅ Opens 11 am Wed"
kushwaha property-Estate Agent In IP Extension-Property Dealer In Patparganj.,Real estate agent,4.9,(68),,"Office No-9, Ground Floor, A-27, Street Number 2, Madhu Vihar, I.P.Extension, Patparganj, Delhi, 110092",
Prestige Daffodils,Condominium complex,4.4,(12),,"99-27, Nargis Dutt Rd Pali Hill, Bandra West, Mumbai, Maharashtra 400050","Closed ⋅ Opens 9:30 am Wed"
Kalpataru Virtus,Real estate agency,3.7,(15),,,
Urban Space Realty,Real estate agency,4.8,(185),,"Raj Heights, C-103, Mahatma Gandhi Rd, near Vohra Colony, Kandivali West, Mumbai, Maharashtra 400067","Closed ⋅ Opens 10:30 am Wed"
Lotekar Realtors Pvt. Ltd. - Real Estate Expert,Real estate agency,4.9,(201),,"Astor Place Building, Shop No. 15, Charkop Chetan Chs Ltd, opp. Bhavishya Nidhi Bhvan, Plot No. 235, 90 Feet Rd, Charkop Sector 3, Kandivali West, Mumbai, Maharashtra 400067","True Space Advisory, Rachit Vora- Top And Best Real Estate Agents/ Brokers in Mumbai",Real estate agency,4.9,(167),,"Office no.1, Shatrunjay Giri Apartment, Kandivali, Ashok Nagar, Kandivali East, Mumbai, Maharashtra 400101",
Dream Properties,Real estate agent,4.8,"(1,099)",,"G4/G5 , Kalamandir, Off, Nehru Rd, behind dubashi playground, near petrol pump, Gujarati Society, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057","Closed ⋅ Opens 10 am Wed"
Sync Realty (Real Estate Agent in Mumbai),Real estate consultant,5.0,(55),,"Shop No.28, Garden Grove Complex Basil Grove CHS, next to New Witty School, Chikuwadi Borivali (West), Mumbai 400092, Mumbai, Maharashtra 400067","A and Z Realtors® Mindspace ,Malad west - best real estate property consultancy in Mumbai",Real estate consultant,4.9,(341),,"Office No 48, Ground Floor, 5RHP+JF8 Evershine Mall, New Link Rd, Malad, Mindspace, Malad West, Mumbai, Maharashtra 400064",N/A
PROPERTY LUCKY ASSOCIATES - Real estate Interior Decor,Real estate agency,4.9,(185),,"&, Yes bank, 8, Ganga Niwas, New Link Rd, opp. Link House, near Chincholi Signal & Hanuman Mandir, Malad West, Mumbai, Maharashtra 400064",N/A
Rajesh Realtors,Real estate agency,4.9,(35),,"Shop No. 14, A - Wing, Rock Avenue Plot D, Bandar Pakhadi Rd, near ICICI Bank, Hindustan Naka, Sai Nagar, Kandivali West, Mumbai, Maharashtra 400067","Closed ⋅ Opens 10 am Wed"
Lucky Real Estate,Real estate consultant,4.9,(155),,"shop Number 13, Bhoomi Park Phase 1, Bhoomi Park Rd, Malad, Jankalyan Nagar, Malad West, Mumbai, Maharashtra 400095",N/A
Exquisite Realtors - Property Developers & Consultants,Real estate agency,4.8,(5),,"B/4, Laxmi Apartment No. 2, M. G. Road, Kandivali (West), behind Patel Nagar, Mumbai, Maharashtra 400067","Closed ⋅ Opens 9:30 am Wed"
Property Finder Real Estate,Real estate agent,4.9,(99),,"Shop No. 9, Ground Floor, C Wing, Building No. 3 Deepanjali Co-operative Housing Society Limited Baf-Hira Nagar, Lower Kharodi, off Marve Road, Malad West, Mumbai, Maharashtra 400095",
Happy Homes - Mr. D Mehta Property Consultants & Brokers in Vile Parle Juhu,Real estate agency,4.9,(161),,"Unit no 1, florich apt, passage road, Laxmi Society, Navpada, Irla, Vile Parle West, Mumbai, Maharashtra 400056",
