Name                                     ,Link                                                                                                                                                                                                                                           ,Rating ,Number of Reviews ,Type                                                                                                                   ,Address                                                                                                                 ,Timings
Galerie Mirchandani + Steinruecke        ,https://www.google.com/maps/place/Galerie+Mirchandani+%2B+Steinruecke/data=!4m7!3m6!1s0x3be7d1c096bf5e17:0xc79d653d3452f2ff!8m2!3d18.9360205!4d72.8400324!16s%2Fg%2F1tf7w5lq!19sChIJF16_lsDR5zsR__JSND1lncc?authuser=0&hl=en&rclk=1            ,   4.5 ,(62)              ,"Art gallery · Commerce House, 101, 1st Floor, SS Ram Gulam Marg
                                                                                                                                                                                                                                                                                                                     Gallery with contemporary Indian art
                                                                                                                                                                                                                                                                                                                     Opens soon ⋅ 11 am"                                                                                                    ,"Art gallery · Commerce House, 101, 1st Floor, SS Ram Gulam Marg"                                                       ,Gallery with contemporary Indian art
Art and Charlie                          ,https://www.google.com/maps/place/Art+and+Charlie/data=!4m7!3m6!1s0x3be7d1d7ca330821:0x9ff347634835af20!8m2!3d19.0632134!4d72.8299408!16s%2Fg%2F11llp9425q!19sChIJIQgzytfR5zsRIK81SGNH858?authuser=0&hl=en&rclk=1                              ,   4.6 ,(108)             ,"Art gallery ·  · 71A Pali Village New Red House inside Pali Village, directly, Off, Pali Mala Rd, behind Joshi House
                                                                                                                                                                                                                                                                                                                     Closed ⋅ Opens 11 am Wed"                                                                                              ,"Art gallery ·  · 71A Pali Village New Red House inside Pali Village, directly, Off, Pali Mala Rd, behind Joshi House" ,Closed ⋅ Opens 11 am Wed
National Gallery of Modern Art           ,https://www.google.com/maps/place/National+Gallery+of+Modern+Art/data=!4m7!3m6!1s0x3be7d1c3d69e9505:0x33783085c701ece!8m2!3d18.9257724!4d72.8314466!16s%2Fm%2F0r4lnv5!19sChIJBZWe1sPR5zsRzh5wXAiDNwM?authuser=0&hl=en&rclk=1                   ,   4.4 ,"(1,862)"         ,"Art gallery ·  · WRGJ+8H4, Sir Cowasji Jahangir Public Hall, Mahatma Gandhi Road
                                                                                                                                                                                                                                                                                                                     Major museum with a global collection
                                                                                                                                                                                                                                                                                                                     Opens soon ⋅ 11 am"                                                                                                    ,"Art gallery ·  · WRGJ+8H4, Sir Cowasji Jahangir Public Hall, Mahatma Gandhi Road"                                     ,Major museum with a global collection
Gallery Maskara                          ,https://www.google.com/maps/place/Gallery+Maskara/data=!4m7!3m6!1s0x3be7d1956099aa59:0xa724c2205b0e5eb8!8m2!3d18.918059!4d72.8275688!16s%2Fg%2F1tmphzyr!19sChIJWaqZYJXR5zsRuF4OWyDCJKc?authuser=0&hl=en&rclk=1                                 ,   4.3 ,(50)              ,"Art gallery · No. 6, 7, 3rd Pasta Ln
                                                                                                                                                                                                                                                                                                                     Opens soon ⋅ 11 am"                                                                                                    ,"Art gallery · No. 6, 7, 3rd Pasta Ln"                                                                                  ,Opens soon ⋅ 11 am
Painted Rhythm Art Gallery               ,https://www.google.com/maps/place/Painted+Rhythm+Art+Gallery/data=!4m7!3m6!1s0x3be7c90e3749f5e3:0xa04e66d7ab4f304b!8m2!3d19.0696854!4d72.8335539!16s%2Fg%2F1tlc6jn4!19sChIJ4_VJNw7J5zsRSzBPq9dmTqA?authuser=0&hl=en&rclk=1                     ,   5.0 ,(525)             ,"Art gallery ·  · 2, Ram Janki, 356, Linking Rd, next to Radio Bar And Wonder Chef, opp. Saraswat Bank
                                                                                                                                                                                                                                                                                                                     Opens soon ⋅ 11 am"                                                                                                    ,"Art gallery ·  · 2, Ram Janki, 356, Linking Rd, next to Radio Bar And Wonder Chef, opp. Saraswat Bank"                ,Opens soon ⋅ 11 am
Chatterjee & Lal                         ,https://www.google.com/maps/place/Chatterjee+%26+Lal/data=!4m7!3m6!1s0x3be7d1956115530f:0x7fc4044a52c902aa!8m2!3d18.9181905!4d72.8313585!16s%2Fg%2F1thd54m0!19sChIJD1MVYZXR5zsRqgLJUkoExH8?authuser=0&hl=en&rclk=1                             ,   4.6 ,(115)             ,"Art gallery · Floor 1, Kamal Mansion, 01/18, Arthur Bunder Rd
                                                                                                                                                                                                                                                                                                                     Closed ⋅ Opens 12 pm"                                                                                                  ,"Art gallery · Floor 1, Kamal Mansion, 01/18, Arthur Bunder Rd"                                                         ,Closed ⋅ Opens 12 pm
ArtShip Gallery                          ,https://www.google.com/maps/place/ArtShip+Gallery/data=!4m7!3m6!1s0x3be7b7753fffffff:0x33892ac3ac9ffeee!8m2!3d19.1787934!4d72.8740805!16s%2Fg%2F11fz9j9gkt!19sChIJ____P3W35zsR7v6frMMqiTM?authuser=0&hl=en&rclk=1                              ,   4.5 ,(96)              ,"Art gallery
                                                                                                                                                                                                                                                                                                                     Open ⋅ Closes 9 pm"                                                                                                    ,Art gallery                                                                                                             ,Open ⋅ Closes 9 pm
Shagun Art Gallery                       ,https://www.google.com/maps/place/Shagun+Art+Gallery/data=!4m7!3m6!1s0x3be7c7e6f2b8fc37:0x2c868273f152672!8m2!3d19.1150253!4d72.9068722!16s%2Fg%2F1q6jz53ff!19sChIJN_y48ubH5zsRciYVPydoyAI?authuser=0&hl=en&rclk=1                             ,   3.8 ,(73)              ,"Art gallery ·  · 4W84+2P9, Central Ave
                                                                                                                                                                                                                                                                                                                     Open ⋅ Closes 9 pm"                                                                                                    ,"Art gallery ·  · 4W84+2P9, Central Ave"                                                                               ,Open ⋅ Closes 9 pm
Nehru Centre Art Gallery                 ,https://www.google.com/maps/place/Nehru+Centre+Art+Gallery/data=!4m7!3m6!1s0x3be7ce8634d4888f:0x9131625422b8957e!8m2!3d18.988739!4d72.8154526!16s%2Fg%2F11bv18syfx!19sChIJj4jUNIbO5zsRfpW4IlRiMZE?authuser=0&hl=en&rclk=1                      ,   4.5 ,"(1,721)"         ,"Art gallery ·  · XRQ8+F5W, Discovery Of India Building, Ground Floor, Dr Annie Besant Rd
                                                                                                                                                                                                                                                                                                                     Sizable venue with a range of works
                                                                                                                                                                                                                                                                                                                     Opens soon ⋅ 11 am"                                                                                                    ,"Art gallery ·  · XRQ8+F5W, Discovery Of India Building, Ground Floor, Dr Annie Besant Rd"                             ,Sizable venue with a range of works
Image Art Gallery (Frames and Paintings) ,https://www.google.com/maps/place/Image+Art+Gallery+%28Frames+and+Paintings%29/data=!4m7!3m6!1s0x3be7cec5f62c8067:0x7ad0ca586e684dc7!8m2!3d19.0232886!4d72.8345738!16s%2Fg%2F11c76jyt0b!19sChIJZ4As9sXO5zsRx01obljK0Ho?authuser=0&hl=en&rclk=1 ,   4.8 ,(72)              ,"Art gallery · 310, Sai Prasad, Swatantryaveer Savarkar Rd, opposite Catering College
                                                                                                                                                                                                                                                                                                                     Open ⋅ Closes 8 pm"                                                                                                    ,"Art gallery · 310, Sai Prasad, Swatantryaveer Savarkar Rd, opposite Catering College"                                  ,Open ⋅ Closes 8 pm
Gallery Art & Soul                       ,https://www.google.com/maps/place/Gallery+Art+%26+Soul/data=!4m7!3m6!1s0x3be7cebb504b97cd:0x27081f6a2c4c861b!8m2!3d18.9891298!4d72.8122988!16s%2Fg%2F1tyksvmh!19sChIJzZdLULvO5zsRG4ZMLGofCCc?authuser=0&hl=en&rclk=1                           ,   4.2 ,(79)              ,"Art gallery · 1 Madhuli, Dr Annie Besant Rd
                                                                                                                                                                                                                                                                                                                     Opens soon ⋅ 11 am"                                                                                                    ,"Art gallery · 1 Madhuli, Dr Annie Besant Rd"                                                                           ,Opens soon ⋅ 11 am
Aakar Art Gallery                        ,https://www.google.com/maps/place/Aakar+Art+Gallery/data=!4m7!3m6!1s0x3be7ce75bfffffff:0x3894cb9d517767dc!8m2!3d18.9740624!4d72.8062202!16s%2Fg%2F1tdvssnz!19sChIJ____v3XO5zsR3Gd3UZ3LlDg?authuser=0&hl=en&rclk=1                              ,   4.2 ,(36)              ,"Art gallery · 49/A, Bhulabhai Desai Marg
                                                                                                                                                                                                                                                                                                                     Open ⋅ Closes 8 pm"                                                                                                    ,"Art gallery · 49/A, Bhulabhai Desai Marg"                                                                              ,Open ⋅ Closes 8 pm
The Native Art Gallery                   ,https://www.google.com/maps/place/The+Native+Art+Gallery/data=!4m7!3m6!1s0x3be7b7130ed79b3f:0x17d199304f30b994!8m2!3d19.1850492!4d72.8338731!16s%2Fg%2F11vqhpx28_!19sChIJP5vXDhO35zsRlLkwTzCZ0Rc?authuser=0&hl=en&rclk=1                       ,   4.8 ,(20)              ,"Art gallery · 3rd floor, Infiniti Mall Malad, near PVR
                                                                                                                                                                                                                                                                                                                     Opens soon ⋅ 11 am"                                                                                                    ,"Art gallery · 3rd floor, Infiniti Mall Malad, near PVR"                                                                ,Opens soon ⋅ 11 am
Galerie Mirchandani + Steinruecke        ,https://www.google.com/maps/place/Galerie+Mirchandani+%2B+Steinruecke/data=!4m7!3m6!1s0x3be7d1c096bf5e17:0xc79d653d3452f2ff!8m2!3d18.9360205!4d72.8400324!16s%2Fg%2F1tf7w5lq!19sChIJF16_lsDR5zsR__JSND1lncc?authuser=0&hl=en&rclk=1            ,   4.5 ,(62)              ,"Art gallery · Commerce House, 101, 1st Floor, SS Ram Gulam Marg
                                                                                                                                                                                                                                                                                                                     Gallery with contemporary Indian art
                                                                                                                                                                                                                                                                                                                     Opens soon ⋅ 11 am"                                                                                                    ,"Art gallery · Commerce House, 101, 1st Floor, SS Ram Gulam Marg"                                                       ,Gallery with contemporary Indian art
Cache The Arts And Crafts Gallery        ,https://www.google.com/maps/place/Cache+The+Arts+And+Crafts+Gallery/data=!4m7!3m6!1s0x3be7c915c47502a3:0xc709aacc74f0d4a6!8m2!3d19.059605!4d72.8344196!16s%2Fg%2F1tdyzdzw!19sChIJowJ1xBXJ5zsRptTwdMyqCcc?authuser=0&hl=en&rclk=1               ,   4.0 ,(65)              ,"Art gallery · Zainab Villa, No. 187, Turner Rd, opposite Moti Mahal
                                                                                                                                                                                                                                                                                                                     Open ⋅ Closes 8:30 pm"                                                                                                 ,"Art gallery · Zainab Villa, No. 187, Turner Rd, opposite Moti Mahal"                                                   ,Open ⋅ Closes 8:30 pm
Art and Charlie                          ,https://www.google.com/maps/place/Art+and+Charlie/data=!4m7!3m6!1s0x3be7d1d7ca330821:0x9ff347634835af20!8m2!3d19.0632134!4d72.8299408!16s%2Fg%2F11llp9425q!19sChIJIQgzytfR5zsRIK81SGNH858?authuser=0&hl=en&rclk=1                              ,   4.6 ,(108)             ,"Art gallery ·  · 71A Pali Village New Red House inside Pali Village, directly, Off, Pali Mala Rd, behind Joshi House
                                                                                                                                                                                                                                                                                                                     Closed ⋅ Opens 11 am Wed"                                                                                              ,"Art gallery ·  · 71A Pali Village New Red House inside Pali Village, directly, Off, Pali Mala Rd, behind Joshi House" ,Closed ⋅ Opens 11 am Wed
Image Art Gallery (Frames and Paintings) ,https://www.google.com/maps/place/Image+Art+Gallery+%28Frames+and+Paintings%29/data=!4m7!3m6!1s0x3be7cec5f62c8067:0x7ad0ca586e684dc7!8m2!3d19.0232886!4d72.8345738!16s%2Fg%2F11c76jyt0b!19sChIJZ4As9sXO5zsRx01obljK0Ho?authuser=0&hl=en&rclk=1 ,   4.8 ,(72)              ,"Art gallery · 310, Sai Prasad, Swatantryaveer Savarkar Rd, opposite Catering College
                                                                                                                                                                                                                                                                                                                     Open ⋅ Closes 8 pm"                                                                                                    ,"Art gallery · 310, Sai Prasad, Swatantryaveer Savarkar Rd, opposite Catering College"                                  ,Open ⋅ Closes 8 pm
Cymroza Art Gallery                      ,https://www.google.com/maps/place/Cymroza+Art+Gallery/data=!4m7!3m6!1s0x3be7ce7620439781:0xcc0e62d801713a14!8m2!3d18.9705225!4d72.8044291!16s%2Fg%2F1tgnkk1z!19sChIJgZdDIHbO5zsRFDpxAdhiDsw?authuser=0&hl=en&rclk=1                            ,   4.2 ,(206)             ,"Art gallery ·  · 72, Bhulabhai Desai Marg
                                                                                                                                                                                                                                                                                                                     Opens soon ⋅ 11 am"                                                                                                    ,"Art gallery ·  · 72, Bhulabhai Desai Marg"                                                                            ,Opens soon ⋅ 11 am
Sakshi Gallery                           ,https://www.google.com/maps/place/Sakshi+Gallery/data=!4m7!3m6!1s0x3be7cf28b7019f59:0x21516391c8db537!8m2!3d18.9181165!4d72.8273955!16s%2Fg%2F1tglfss_!19sChIJWZ8BtyjP5zsRN7WNHDkWFQI?authuser=0&hl=en&rclk=1                                  ,   4.4 ,(105)             ,"Art gallery · 3rd Pasta Ln
                                                                                                                                                                                                                                                                                                                     Time-tested venue for Indian art
                                                                                                                                                                                                                                                                                                                     Opens soon ⋅ 11 am"                                                                                                    ,Art gallery · 3rd Pasta Ln                                                                                              ,Time-tested venue for Indian art
