Business Name                                                                               ,Category               ,Rating ,Number of Reviews ,Phone Number   ,Address                                                                                                                                                                        ,Operating Hours
Prestige Daffodils                                                                          ,Condominium complex    ,N/A    ,N/A               ,"
                                                                                                                                                081473 75811"  ,"
                                                                                                                                                                99-27, Nargis Dutt Rd Pali Hill, Bandra West, Mumbai, Maharashtra 400050"                                                                                                      ,"
                                                                                                                                                                                                                                                                                                                                                Closes soon ⋅ 6:30 pm ⋅ Opens 9:30 am Sun
                                                                                                                                                                                                                                                                                                                                                "
Kalpataru Virtus                                                                            ,Real estate agency     ,N/A    ,N/A               ,"
                                                                                                                                                022 3064 3065" ,"
                                                                                                                                                                Kalpataru Virtus, Jogeshwari - Vikhroli Link Rd, near Powai Telephone Exchange, W, Vikhroli West, Mumbai, Maharashtra 400083"                                                  ,"
                                                                                                                                                                                                                                                                                                                                                Open ⋅ Closes 7 pm
                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                Updated by phone call 5 weeks ago"
Urban Space Realty                                                                          ,Real estate agency     ,N/A    ,N/A               ,"
                                                                                                                                                093249 06516"  ,"
                                                                                                                                                                Raj Heights, C-103, Mahatma Gandhi Rd, near Vohra Colony, Kandivali West, Mumbai, Maharashtra 400067"                                                                          ,"
                                                                                                                                                                                                                                                                                                                                                Open ⋅ Closes 7 pm
                                                                                                                                                                                                                                                                                                                                                "
Lotekar Realtors Pvt. Ltd. - Real Estate Expert                                             ,Real estate agency     ,N/A    ,N/A               ,               ,"
                                                                                                                                                                Astor Place Building, Shop No. 15, Charkop Chetan Chs Ltd, opp. Bhavishya Nidhi Bhvan, Plot No. 235, 90 Feet Rd, Charkop Sector 3, Kandivali West, Mumbai, Maharashtra 400067" ,
"True Space Advisory, Rachit Vora- Top And Best Real Estate Agents/ Brokers in Mumbai"      ,Real estate agency     ,N/A    ,N/A               ,               ,"
                                                                                                                                                                Office no.1, Shatrunjay Giri Apartment, Kandivali, Ashok Nagar, Kandivali East, Mumbai, Maharashtra 400101"                                                                    ,
Dream Properties                                                                            ,Real estate agent      ,N/A    ,N/A               ,"
                                                                                                                                                095944 95942"  ,"
                                                                                                                                                                G4/G5 , Kalamandir, Off, Nehru Rd, behind dubashi playground, near petrol pump, Gujarati Society, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057"                     ,"
                                                                                                                                                                                                                                                                                                                                                Open ⋅ Closes 7 pm
                                                                                                                                                                                                                                                                                                                                                "
Sync Realty (Real Estate Agent in Mumbai)                                                   ,Real estate consultant ,N/A    ,N/A               ,               ,"
                                                                                                                                                                Shop No.28, Garden Grove Complex Basil Grove CHS, next to New Witty School, Chikuwadi Borivali (West), Mumbai 400092, Mumbai, Maharashtra 400067"                              ,
"A and Z Realtors® Mindspace ,Malad west - best real estate property consultancy in Mumbai" ,Real estate consultant ,N/A    ,N/A               ,               ,"
                                                                                                                                                                Office No 48, Ground Floor, 5RHP+JF8 Evershine Mall, New Link Rd, Malad, Mindspace, Malad West, Mumbai, Maharashtra 400064"                                                    ,N/A
PROPERTY LUCKY ASSOCIATES - Real estate Interior Decor                                      ,Real estate agency     ,N/A    ,N/A               ,               ,"
                                                                                                                                                                &, Yes bank, 8, Ganga Niwas, New Link Rd, opp. Link House, near Chincholi Signal & Hanuman Mandir, Malad West, Mumbai, Maharashtra 400064"                                     ,N/A
