SR No. ,Scheme Name                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,Scheme Address                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,Scheme Type       ,Village   ,CTS No                       ,Developer                                                                                                                               ,Architect                                                                            ,No. of Slum Dwellers ,Land Type
    31 ,"PROPOSED SR SCHEME UNDER DCR 33(10) ON PLOT BEARING CTS NO. 414 & 418 OF VILLAGE POISAR, GAONDEVI ROAD, KANDIVALI, MUMBAI 400 101"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,"PROPOSED SR SCHEME UNDER DCR 33(10) ON PLOT BEARING CTS NO. 414 & 418 OF VILLAGE POISAR, GAONDEVI ROAD, KANDIVALI, MUMBAI 400 101"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,33(10) New scheme ,          ,                             ,M/S. SAI OM DEVELOPERS                                                                                                                  ,Mr. Rakesh G. Waghmare of M/s. Design World                                          ,                     ,STGOVT
    32 ,"PROPOSED S.R.SCHEME UNDER DCR 33.10 ON PLOT BEARING CTS NO 394,398,399 &405 OF VILLAGE POISAR, GAONDEVI ROAD, KANDIVLI, MUMBAI 400 101"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"PROPOSED S.R.SCHEME UNDER DCR 33.10 ON PLOT BEARING CTS NO 394,398,399 &405 OF VILLAGE POISAR, GAONDEVI ROAD, KANDIVLI, MUMBAI 400 101"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,33(10) New scheme ,          ,                             ,M/S. SAI OM DEVELOPERS                                                                                                                  ,Mr. Rakesh G. Waghmare of M/s. Design World                                          ,                     ,STGOVT
    33 ,"PROPOSED S.R.SCHEME UNDRE SECTION 33[10] ON PLOT BEARING C.T.S.NO.526[PT] ,561 [PT] ,567,568 ,569 [PT] ,570[PT] & 572 [PT] OF VILLAGE KANDIVALI ,AT HINDUSTAN NAKA ,KANDIVALI [W],MUMBAI. AS PER EX.ENG.(II) SRA S ORDER NEW PROPOSAL AMALGAMATED ON MCGM LAND ON CTS NO.526[PT]& 545 OF VILLAGE,KANDIVALI[MAANSAROVAR-A] .AMALGAMATED WITH CTS NO.523[PT],524[PT],525[PT],526[PT] & 528 [MAANSAROVAR-B],AMALGAMATION WITH CTS NO.513,523[PT] & 527 OF VIILLAGE KANDIVALI FOR CHS,BHATIA ESTATE SAHAKARI GRIHANIRNMAN SANSTHA [PROP].SRA/ENG/1995/RS/ML/LOI AMALGAMATION OF C.T.S.NO.517[PT],519 [PT],521 [PT] ,522 FOR MANIKARAN CHS [PROP] DATED.19/12/2009" ,"PROPOSED S.R.SCHEME UNDRE SECTION 33[10] ON PLOT BEARING C.T.S.NO.526[PT] ,561 [PT] ,567,568 ,569 [PT] ,570[PT] & 572 [PT] OF VILLAGE KANDIVALI ,AT HINDUSTAN NAKA ,KANDIVALI [W],MUMBAI. AS PER EX.ENG.(II) SRA S ORDER NEW PROPOSAL AMALGAMATED ON MCGM LAND ON CTS NO.526[PT]& 545 OF VILLAGE,KANDIVALI[MAANSAROVAR-A] .AMALGAMATED WITH CTS NO.523[PT],524[PT],525[PT],526[PT] & 528 [MAANSAROVAR-B],AMALGAMATION WITH CTS NO.513,523[PT] & 527 OF VIILLAGE KANDIVALI FOR CHS,BHATIA ESTATE SAHAKARI GRIHANIRNMAN SANSTHA [PROP].SRA/ENG/1995/RS/ML/LOI AMALGAMATION OF C.T.S.NO.517[PT],519 [PT],521 [PT] ,522 FOR MANIKARAN CHS [PROP] DATED.19/12/2009" ,33(10) New scheme ,          ,                             ,M/s. Bhatia Builders & Developers Pvt. Ltd.                                                                                             ,Shri. Jitendra B Patel of M/s. Aaakar Architect & Consultants                        ,                     ,MCGM
    34 ,"PROPOSED S.R.SCHEME ON PLOT BEARING C.T.S. NO.163 A [PT] OF VILLAGE AKRULI ,HANUMAN NAGAR ,KANDIVALI [E] ,MUMBAI-4000101"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,"PROPOSED S.R.SCHEME ON PLOT BEARING C.T.S. NO.163 A [PT] OF VILLAGE AKRULI ,HANUMAN NAGAR ,KANDIVALI [E] ,MUMBAI-4000101"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,33(10) New scheme ,          ,                             ,M/S.KENSTRO ENCLAVE DEVELOPERS                                                                                                          ,Shantanoo Rane & Associate                                                           ,                     ,MHADA
    35 ,"PROPOSED S.R.SCHEME ON PLOT BEARING C.T.S. NO.163 A [PT] OF VILLAGE AKURLI, HANUMAN NAGAR ,KANDIVALI [E] MUMBAI-4000101"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"PROPOSED S.R.SCHEME ON PLOT BEARING C.T.S. NO.163 A [PT] OF VILLAGE AKURLI, HANUMAN NAGAR ,KANDIVALI [E] MUMBAI-4000101"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,33(10) New scheme ,          ,                             ,M/S.KENSTRO ENCLAVE DEVELOPERS                                                                                                          ,Shantanoo Rane & Associate                                                           ,                     ,MHADA
    36 ,"PROPOSED S.R.SCHEME ON PLOT BEARING C.T.S.NO. 163 A [PT] OF VILLAGE AKURLY ,HANUMAN NAGAR ,KANDIVALI [E] MUMBAI-4000101"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"PROPOSED S.R.SCHEME ON PLOT BEARING C.T.S.NO. 163 A [PT] OF VILLAGE AKURLY ,HANUMAN NAGAR ,KANDIVALI [E] MUMBAI-4000101"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,33(10) New scheme ,          ,                             ,M/S.KENSTRO ENCLAVE DEVELOPERS                                                                                                          ,Shantanoo Rane & Associate                                                           ,                     ,MHADA
    37 ,"PROPOSED S.R.SCHEME ONPLOT BEARING C.T.S.NO.163 A [PT] OF VILLAGE AKURLI ,HANUMAN NAGAR ,KANDIVALI [E] ,MUMBAI-4000101"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"PROPOSED S.R.SCHEME ONPLOT BEARING C.T.S.NO.163 A [PT] OF VILLAGE AKURLI ,HANUMAN NAGAR ,KANDIVALI [E] ,MUMBAI-4000101"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,33(10) New scheme ,          ,                             ,M/S.KENSTRO ENCLAVE DEVELOPERS                                                                                                          ,Shantanoo Rane & Associate                                                           ,                     ,MHADA
    38 ,"PROPOSED S.R.SCHEME ON PLOT BEARING C.T.S. NO.163 A [PT] OF VILLAGE AKRULI ,HANUMAN NAGAR ,KANDIVALI [E] ,MUMBAI-4000101"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,"PROPOSED S.R.SCHEME ON PLOT BEARING C.T.S. NO.163 A [PT] OF VILLAGE AKRULI ,HANUMAN NAGAR ,KANDIVALI [E] ,MUMBAI-4000101"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,33(10) New scheme ,          ,                             ,M/S.KENSTRO ENCLAVE DEVELOPERS                                                                                                          ,Shantanoo Rane & Associate                                                           ,                     ,MHADA
    39 ,"PROP. S.R. SCHEME ON PLOT BEARING CTS. NO.239,239/1 TO 14 OF VILLAGE MALAD SITUATED AT IRANIWADI KANDIVALI (W) FOR SHREE UMIYA DARSHAN"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"PROP. S.R. SCHEME ON PLOT BEARING CTS. NO.239,239/1 TO 14 OF VILLAGE MALAD SITUATED AT IRANIWADI KANDIVALI (W) FOR SHREE UMIYA DARSHAN"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,33(10) New scheme ,          ,                             ,Patel Construction Co.                                                                                                                  ,KAMAAL MOMIN                                                                         ,                     ,PRIVATE
    40 ,"PROP S.R.S. ON PLOT BEARING C.T.S. NO. 296, 296/1 TO 42 OF VILL MALAD AT SHANKAR LANE, KANDIVALI (W) FOR SHREE GANESH C.H.S. (PROP)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"PROP S.R.S. ON PLOT BEARING C.T.S. NO. 296, 296/1 TO 42 OF VILL MALAD AT SHANKAR LANE, KANDIVALI (W) FOR SHREE GANESH C.H.S. (PROP)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,33(10) New scheme ,          ,                             ,M/s. SHREE SAI ENTERPRISES                                                                                                              ,M/s. Chandrashekhar Architect                                                        ,                     ,PRIVATE
    41 ,"PROP S.R.S. ON PLOT BEARING C.T.S. NO. 163 A (PT) OF VILLAGE AKURLI, KANDIVALI (E) FOR JAI TULJABHAVANI C.H.S. (PROP)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,"PROP S.R.S. ON PLOT BEARING C.T.S. NO. 163 A (PT) OF VILLAGE AKURLI, KANDIVALI (E) FOR JAI TULJABHAVANI C.H.S. (PROP)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,33(10) New scheme ,          ,                             ,SPECTRUM ESTATE PVT. LTD.                                                                                                               ,M/s.Essar Group                                                                      ,                     ,MHADA
    42 ,"PROP. SRS. ON CTS.NO.128/A/4 (PT) OF VILLAGE RENUKA NAGAR, NEW LINK ROAD,DAHANUKAR WADI, KANDIVALI (W) FOR OM SAI SHRADHA RENUKA NAGAR CHS."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"PROP. SRS. ON CTS.NO.128/A/4 (PT) OF VILLAGE RENUKA NAGAR, NEW LINK ROAD,DAHANUKAR WADI, KANDIVALI (W) FOR OM SAI SHRADHA RENUKA NAGAR CHS."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,33(10) New scheme ,          ,                             ,SHUBHA ENTERPRISES                                                                                                                      ,M/s. Sky Tech Consultants                                                            ,                     ,MHADA
    43 ,"PROP S.R.S. ON C.T.S. NO. 163 A OF VILL AKURLI, HANUMAN NAGAR, KANDIVALI (E) FOR ADARSH JANSEVA, JAI GANESH, TRIMURTI, TRIVENI, LOKMANYA, SANJIVANI, JAY JAGDAMBA, JAGDAMBA, JAI BHARAT, DEEP JYOTI, TULJABHAVANI"                                                                                                                                                                                                                                                                                                                                                                                                                                             ,"PROP S.R.S. ON C.T.S. NO. 163 A OF VILL AKURLI, HANUMAN NAGAR, KANDIVALI (E) FOR ADARSH JANSEVA, JAI GANESH, TRIMURTI, TRIVENI, LOKMANYA, SANJIVANI, JAY JAGDAMBA, JAGDAMBA, JAI BHARAT, DEEP JYOTI, TULJABHAVANI"                                                                                                                                                                                                                                                                                                                                                                                                                                             ,33(10) New scheme ,          ,                             ,RUCHIPRIYA DEVELOPERS PVT LTD                                                                                                           ,M/S.GRIT ARCHITECTURAL CONSULTANCY PVT. LTD.                                         ,                     ,STGOVT
    44 ,PROP SR SCHEME NO.C.T.S. NO. 163A OF VILLAGE AKURLI KANDIVALI (E) MUMBAI- FOR SAHAYOG CHS (PROP) 1]JAI SHREE AMBE CHS [PROP] & 2] PAWAN PUTRA C.H.S.[PROP].AMALGAMATION WITH EARLIER ALREADY ACCEPTED S.R.SCHEME FOR SAHAYOG C.H.S.[PROP].                                                                                                                                                                                                                                                                                                                                                                                                                      ,PROP SR SCHEME NO.C.T.S. NO. 163A OF VILLAGE AKURLI KANDIVALI (E) MUMBAI- FOR SAHAYOG CHS (PROP) 1]JAI SHREE AMBE CHS [PROP] & 2] PAWAN PUTRA C.H.S.[PROP].AMALGAMATION WITH EARLIER ALREADY ACCEPTED S.R.SCHEME FOR SAHAYOG C.H.S.[PROP].                                                                                                                                                                                                                                                                                                                                                                                                                      ,33(10) New scheme ,          ,                             ,SPECTRUM ESTATE PVT. LTD.                                                                                                               ,"Mrs. Anuradha Raikar M/s. Plan Well Architects,"                                    ,                     ,MHADA
    45 ,"PROP SRS ON CTS NO. 3 (PT),3/1 TO 222 8, 9, 9/1 TO 20, 10, 10/1 TO 19, 11, 11/1 TO 24, 12, 12/1 TO 44, 13, 13/1 TO 39 OF VILL WADH-WAN AT KANDIVALI (E) FOR SHRI RAM NAGAR & SAMART CHS (PROP)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,"PROP SRS ON CTS NO. 3 (PT),3/1 TO 222 8, 9, 9/1 TO 20, 10, 10/1 TO 19, 11, 11/1 TO 24, 12, 12/1 TO 44, 13, 13/1 TO 39 OF VILL WADH-WAN AT KANDIVALI (E) FOR SHRI RAM NAGAR & SAMART CHS (PROP)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,33(10) New scheme ,          ,                             ,M/s. Rushabh Developers                                                                                                                 ,C. Subhash And Asso.                                                                 ,                     ,PRIVATE
    46 ,"Keshodham Co-op. Housing Society (Proposed) CTS No. 2853/B, 2853/C & 2853/D of village Dahisar at Dahisar (E), Mumbai under Regulation 33(10) & 32 of DCR 1991. Total Plot Area = 3591.80sq.mt. for Keshodham Co-op. Housing Society (Proposed)"                                                                                                                                                                                                                                                                                                                                                                                                               ,Keshodham Co-op. Housing Society (Proposed)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,33(10) New scheme ,          ,                             ,MANGILAL R. JAIN                                                                                                                        ,SHRI.S. NEVE OF M/S. WESYMOR+ CONSULTANTS PVT. LTD.                                  ,                     ,PRIVATE
    47 ,"Jai Siddeshwari CHS (Prop) Proposal for S. R. Scheme on plot bearing CTS No. 2668, 2669(pt), 2672(pt) of Dahisar (E), Mum 68 for Jai Siddeshwari CHS (Prop) Plot Area = 3046.60"                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,Jai Siddeshwari CHS (Prop)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,33(10) New scheme ,          ,                             ,M/s. Vini Realties                                                                                                                      ,M/s. S. S. Associates                                                                ,                     ,STGOVT
    48 ,"M/S.BHABLIPADA CHS (PROP) PROP.S.R.SCHEME ON CTS NO.1525(PT) OF VILLAGE DAHISAR, BHABLIPADA CHATRAPATI SHIVAJI COMPLEX, CROSS ROAD NO.3, DAHISAR(E),MUMBAI-68. FOR ' M/S.BHABLIPADA CHS (PROP)' TOTAL PLOT AREA= 14366.49 SQ.MT. ARCHITECT ADD=1ST FLOOT, ADITYA KUTIR, 4TH ROAD, KHAR(W), MUMBAI-52."                                                                                                                                                                                                                                                                                                                                                         ,M/S.BHABLIPADA CHS (PROP)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,33(10) New scheme ,          ,                             ,M/S.OM SHIVSHAKTI CONSTRUCTION.CO.                                                                                                      ,Shri. B.S. Pushkar of M/s. Pushkar consultants.                                      ,                     ,STGOVT
    49 ,"FOR SANJOG NAGAR SRA CHS(PROP). PROPOSED S.R.SCHME ON PLOT BEARING C.T.S. NO. 2761 OF DAHISAR (E), MUMBAI 400 068 (PLOT AREA 3175.00 SQ.MTR) FOR SANJOG NAGAR SRA CHS(PROP).SRA/ENG/2527/RN/PL/LOI"                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,FOR SANJOG NAGAR SRA CHS(PROP).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,33(10) New scheme ,          ,                             ,M/S. VIVA SAVLI DEVELOPERS                                                                                                              ,M/s. S.S. Associates                                                                 ,                     ,PRIVATE
    50 ,"SHREE GAJANAN KRUPA CHS [PROP], DAHISAR PROPOSED S.R.SCHEME ON PLOT BEARING C.T.S.NO.1695,1696,1697,1697/1 TO 4,1698,1698/1 TO 4 , 1699,1699/1 TO 3 ,1700,1700/1 TO 3, 1701,1701/1 TO 3 , 1702,1702/ 1 TO 6 , 1703,1703/1 TO 4 ,1704,1704/1 TO 3, 1714,1714/1 TO 6,1715,1718,1718/1 TO 4,1719,1719/1 TO 5,1720,1720/1,1720/2,1720/3,1720/4, OF VILLAGE DAHISAR , TAL-BORIVALI AT OVRIPADA MAHAJAN ROAD, DAHISAR [E], MUMBAI.68 [ PLOT AREA = 2013.50 SQ.MT.] SRA/ENG/2425/RN/PL/LOI"                                                                                                                                                                           ,"SHREE GAJANAN KRUPA CHS [PROP], DAHISAR"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,33(10) New scheme ,          ,                             ,M/S.VIVA KUTIR DEVELOPERS.                                                                                                              ,"Mrs. Anuradha Raikar M/s. Plan Well Architects,"                                    ,                     ,PRIVATE
